"filename", "language", "HTML", "Python", "JavaScript", "CSS", "XML", "JSON", "comment", "blank", "total"
"d:\system\system\wsgi.py", "Python", 0, 10, 0, 0, 0, 0, 0, 7, 17
"d:\system\templates\C++.html", "HTML", 197, 0, 0, 0, 0, 0, 0, 39, 236
"d:\system\templates\cpp.html", "HTML", 240, 0, 0, 0, 0, 0, 0, 36, 276
"d:\system\templates\css.html", "HTML", 298, 0, 0, 0, 0, 0, 0, 50, 348
"d:\system\templates\cssl.html", "HTML", 227, 0, 0, 0, 0, 0, 0, 40, 267
"d:\system\templates\end.html", "HTML", 141, 0, 0, 0, 0, 0, 0, 27, 168
"d:\system\templates\html.html", "HTML", 361, 0, 0, 0, 0, 0, 0, 59, 420
"d:\system\templates\index.html", "HTML", 246, 0, 0, 0, 0, 0, 21, 54, 321
"d:\system\templates\js.html", "HTML", 323, 0, 0, 0, 0, 0, 0, 57, 380
"d:\system\templates\jss.html", "HTML", 232, 0, 0, 0, 0, 0, 0, 34, 266
"d:\system\templates\loginn.html", "HTML", 181, 0, 0, 0, 0, 0, 1, 33, 215
"d:\system\templates\myself.html", "HTML", 196, 0, 0, 0, 0, 0, 0, 25, 221
"d:\system\templates\python.html", "HTML", 289, 0, 0, 0, 0, 0, 0, 62, 351
"d:\system\templates\pythons.html", "HTML", 397, 0, 0, 0, 0, 0, 0, 65, 462
"d:\system\templates\register.html", "HTML", 208, 0, 0, 0, 0, 0, 1, 34, 243
"Total", "-", 18216, 511, 4751, 28554, 2290, 26483, 1214, 4414, 86433
